...1,Country,avg_play_per_day,heaviness,duration_per_capita,cluster,clusterName
199,DJ,20.4968085,0.331416951,3.923129253,3,F-Type
200,VU,23.73933349,0.330631964,3.253833814,3,F-Type
201,TD,23.22576467,0.32667474,0.137016829,3,F-Type
202,PG,32.4993323,0.32624643,0.84793363,7,G-Type
203,TL,22.52340125,0.314011674,5.048239664,3,F-Type
204,MR,16.90524106,0.309240731,2.44118286,3,F-Type
205,SD,18.72145253,0.307614464,0.896638743,3,F-Type
206,GN,26.61448075,0.3053378,0.65717323,7,G-Type
207,ER,22.36522168,0.303733579,0.005675378,3,F-Type
208,NE,19.54857808,0.29265827,0.376792444,3,F-Type
209,AF,22.9478979,0.285705185,1.05085096,3,F-Type
210,KI,35.78335741,0.275775778,5.434316614,7,G-Type
211,TV,30.14599445,0.260865393,7.908844744,7,G-Type
212,SY,14.1544011,0.253746542,0.027881065,3,F-Type
213,IR,12.53633237,0.211166181,0.06999311,3,F-Type
